  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 09:00:34	  -2.000	   0.000	   58.81	  994.24	   11.72	    81.5	   -41.5	    -9.8	     0.2	    71.4	    15.5	 184.019	   1.216	   137.3	    15.0	  169987	   41.00	   41.00	    0.64	    0.64	    0.00	  13.614	  13.363	  28.323	  28.212	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 09:01:15	  -2.000	   0.000	   58.60	  994.18	   11.70	   145.0	   -27.8	   -16.0	   -12.7	   120.2	     8.4	 184.014	   1.216	   136.8	    15.0	  169707	   36.90	   36.90	    0.43	    0.43	    0.00	  13.522	  13.304	  25.897	  26.193	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 09:01:34	  -2.000	   0.000	   58.55	  994.23	   11.70	   194.0	   -19.4	   -21.7	   -21.8	   158.3	     5.2	 184.003	   1.216	   136.7	    15.0	  169635	   33.67	   33.69	    0.28	    0.27	    0.00	  13.482	  13.271	  23.659	  23.982	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 09:02:18	   1.996	   0.000	   58.33	  994.39	   11.69	   205.8	   -18.2	    87.7	    92.4	   130.0	     7.0	 183.967	   1.216	   136.2	    15.0	  169328	   33.60	   33.60	    0.26	    0.26	    0.00	  13.372	  13.188	  23.619	  23.885	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 09:02:52	   1.996	   0.000	   58.58	  994.37	   11.70	    92.6	   -32.7	   105.0	   117.0	    38.4	     9.8	 183.986	   1.216	   136.8	    15.0	  169690	   41.00	   40.99	    0.70	    0.69	    0.00	  13.297	  13.128	  25.627	  25.419	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 09:03:40	   1.996	   0.000	   58.44	  994.28	   11.70	   154.2	   -21.9	    96.8	   101.6	    89.6	     8.7	 183.949	   1.216	   136.4	    15.0	  169479	   36.91	   36.91	    0.47	    0.46	    0.00	  13.231	  13.090	  23.457	  23.642	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 09:04:45	   6.000	   0.000	   58.24	  994.32	   11.70	   268.3	   -33.8	   166.7	   185.0	   203.2	    19.2	 185.001	   1.216	   136.0	    15.0	  169191	   33.60	   33.60	    0.30	    0.29	    0.00	  13.138	  13.018	  21.377	  21.576	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 09:05:10	   6.000	   0.000	   58.35	  994.29	   11.72	   218.5	   -31.2	   177.3	   192.3	   162.4	    17.5	 184.968	   1.216	   136.2	    15.0	  169339	   36.89	   36.89	    0.48	    0.47	    0.00	  13.103	  12.992	  23.376	  23.556	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 09:05:33	   6.000	   0.000	   58.48	  994.32	   11.72	   154.9	   -25.1	   192.2	   202.1	   109.6	    13.6	 185.013	   1.216	   136.5	    15.0	  169521	   40.97	   40.97	    0.71	    0.72	    0.00	  13.077	  12.974	  25.471	  25.143	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
